Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,38,102174,102174,2 Collins Street MELBOURNE 3000,Melbourne (CBD),Cafe Alcaston,"Shop 1, Ground , 2 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.97354712704998,-37.813038635710654,"-37.813038635710654, 144.97354712704998"
2008,38,105913,105913,57-67 Little Collins Street MELBOURNE 3000,Melbourne (CBD),N Lee Bakery And Cafe,"Shop 4, 61-67 Little Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,20,144.97169208780002,-37.813140872987816,"-37.813140872987816, 144.97169208780002"
2008,38,105913,105913,57-67 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Crema Espresso Bar,"Shop 2, 61-67 Little Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.97169208780002,-37.813140872987816,"-37.813140872987816, 144.97169208780002"
2008,38,105913,105913,57-67 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Sakura Kaiten Sushi,"Shop 1, 61-67 Little Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.97169208780002,-37.813140872987816,"-37.813140872987816, 144.97169208780002"
2008,38,108982,108982,93-101 Spring Street MELBOURNE 3000,Melbourne (CBD),Saki Sushi Bar,5 Spring Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,12,144.97318235911388,-37.812599634799994,"-37.812599634799994, 144.97318235911388"
2008,38,108982,108982,93-101 Spring Street MELBOURNE 3000,Melbourne (CBD),Spring Cafe & Larder,9-11 Spring Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.97318235911388,-37.812599634799994,"-37.812599634799994, 144.97318235911388"
2008,38,108982,108982,93-101 Spring Street MELBOURNE 3000,Melbourne (CBD),Spring Cafe & Larder,9-11 Spring Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.97318235911388,-37.812599634799994,"-37.812599634799994, 144.97318235911388"
2008,38,108982,108982,93-101 Spring Street MELBOURNE 3000,Melbourne (CBD),Saki Sushi Bar,5 Spring Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Outdoor,14,144.97318235911388,-37.812599634799994,"-37.812599634799994, 144.97318235911388"
2008,41,101159,101159,607-619 Bourke Street MELBOURNE 3000,Melbourne (CBD),Good Taste Cafe,"Ground , 607 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,36,144.95555306475,-37.81677339275943,"-37.81677339275943, 144.95555306475"
2008,41,101160,101160,621-633 Bourke Street MELBOURNE 3000,Melbourne (CBD),Royal Melbourne Hotel,621-633 Bourke Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,144.9552277083,-37.81686701995113,"-37.81686701995113, 144.9552277083"
