lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
6,0,2.833213344056216,0,0,23,174,0,0,1,0,0,0,0,0,0,0,0,0,5
2,1,5.5254529391317835,0,0,231,34,0,0,1,0,0,0,0,0,0,0,0,0,7
3,1,4.61512051684126,0,0,106,8,0,0,1,0,0,0,0,0,0,0,0,0,2
2,1,3.9318256327243257,0,0,231,34,0,0,1,0,0,0,0,0,0,0,0,0,7
6,1,5.707110264748875,0,0,173,24,0,0,1,0,0,0,0,0,0,0,0,0,5
4,1,4.574710978503383,0,0,198,30,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.07753744390572,0,0,259,41,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,3.295836866004329,0,0,92,5,0,0,1,0,0,0,0,0,0,0,0,0,5
4,0,1.0986122886681098,1,0,37,245,0,0,1,0,0,0,0,0,0,0,0,0,7
2,1,3.9318256327243257,0,0,92,5,0,0,1,0,0,0,0,0,0,0,0,0,5
14,1,3.258096538021482,0,0,92,5,0,0,1,0,0,0,0,0,0,0,0,0,5
8,1,4.110873864173311,0,0,110,9,0,0,1,0,0,0,0,0,0,0,0,0,5
